2016/6/26 - 19:42:10 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
250, 222, 240, 263, 234, 225, 231, 237, 228, 232, 237, 238, 234, 228, 232, 235, 235, 1, 2157, 2016/6/26 - 19:42:13
250, 222, 239, 263, 235, 224, 231, 239, 228, 231, 236, 238, 233, 228, 232, 235, 234, 1, 216, 2016/6/26 - 19:42:13
250, 222, 239, 263, 237, 224, 230, 239, 227, 230, 236, 238, 233, 228, 232, 235, 234, 1, 220, 2016/6/26 - 19:42:14
250, 221, 238, 263, 238, 224, 229, 238, 227, 231, 236, 237, 234, 227, 231, 235, 234, 1, 420, 2016/6/26 - 19:42:14
250, 221, 237, 264, 239, 224, 229, 238, 228, 231, 237, 237, 234, 227, 231, 235, 234, 1, 216, 2016/6/26 - 19:42:14
250, 221, 237, 265, 240, 225, 230, 238, 228, 231, 237, 237, 234, 228, 232, 235, 234, 1, 417, 2016/6/26 - 19:42:15
250, 221, 238, 265, 240, 225, 230, 238, 228, 231, 237, 237, 234, 228, 232, 235, 235, 1, 217, 2016/6/26 - 19:42:15
250, 222, 237, 265, 240, 225, 230, 238, 228, 231, 237, 238, 234, 229, 232, 236, 235, 1, 214, 2016/6/26 - 19:42:15
251, 223, 238, 265, 240, 226, 232, 239, 229, 233, 239, 239, 236, 230, 233, 237, 237, 1, 212, 2016/6/26 - 19:42:15
251, 224, 239, 268, 239, 227, 233, 241, 230, 233, 239, 240, 236, 230, 234, 238, 237, 1, 213, 2016/6/26 - 19:42:16
251, 224, 229, 260, 255, 228, 233, 245, 246, 235, 240, 241, 238, 231, 235, 238, 238, 1, 826, 2016/6/26 - 19:42:16
251, 224, 228, 245, 263, 227, 232, 244, 252, 234, 240, 240, 237, 231, 235, 238, 238, 1, 422, 2016/6/26 - 19:42:17
251, 223, 227, 241, 267, 226, 231, 243, 249, 233, 238, 239, 236, 230, 234, 238, 236, 1, 212, 2016/6/26 - 19:42:17
250, 219, 223, 234, 267, 222, 227, 236, 236, 229, 235, 235, 232, 226, 229, 233, 232, 1, 419, 2016/6/26 - 19:42:17
250, 221, 225, 235, 269, 224, 228, 237, 239, 230, 236, 237, 234, 228, 231, 235, 234, 1, 622, 2016/6/26 - 19:42:18
250, 219, 224, 234, 269, 223, 227, 236, 241, 230, 236, 236, 233, 227, 230, 234, 233, 1, 217, 2016/6/26 - 19:42:18
250, 220, 224, 234, 274, 223, 228, 238, 248, 229, 236, 236, 233, 227, 230, 234, 233, 1, 621, 2016/6/26 - 19:42:19
250, 221, 225, 234, 272, 225, 229, 237, 248, 231, 237, 238, 235, 228, 232, 235, 235, 1, 826, 2016/6/26 - 19:42:20
