2016/9/5 - 23:21:4 BEGINNING OF FILE
TPTAT, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, CheckPEC, Delta t from last measure in Miliseconds, Time Stamp
278, 290, 292, 263, 262, 272, 275, 268, 263, 267, 275, 274, 268, 265, 266, 269, 267, 1, 3004, 2016/9/5 - 23:21:8
277, 290, 290, 262, 261, 272, 274, 267, 261, 266, 274, 272, 267, 264, 265, 268, 265, 1, 630, 2016/9/5 - 23:21:9
278, 291, 291, 263, 261, 273, 275, 267, 262, 267, 275, 273, 268, 265, 266, 269, 267, 1, 625, 2016/9/5 - 23:21:9
277, 289, 289, 261, 260, 271, 273, 267, 261, 265, 274, 272, 267, 264, 265, 268, 265, 1, 420, 2016/9/5 - 23:21:10
278, 289, 289, 262, 261, 271, 273, 267, 261, 266, 274, 272, 267, 264, 265, 268, 265, 1, 214, 2016/9/5 - 23:21:10
277, 289, 289, 262, 260, 271, 274, 267, 261, 266, 275, 273, 268, 264, 265, 268, 266, 1, 216, 2016/9/5 - 23:21:10
278, 290, 290, 263, 262, 272, 275, 268, 262, 267, 275, 273, 268, 265, 266, 268, 267, 1, 425, 2016/9/5 - 23:21:11
278, 290, 290, 263, 262, 273, 275, 267, 262, 266, 275, 273, 268, 265, 266, 268, 267, 1, 421, 2016/9/5 - 23:21:11
278, 289, 292, 262, 261, 271, 275, 268, 263, 266, 275, 273, 268, 264, 266, 269, 267, 1, 420, 2016/9/5 - 23:21:11
277, 295, 291, 262, 261, 272, 274, 267, 261, 266, 274, 272, 267, 263, 265, 268, 266, 1, 417, 2016/9/5 - 23:21:12
278, 299, 294, 264, 262, 286, 277, 268, 263, 267, 275, 273, 268, 265, 267, 269, 267, 1, 654, 2016/9/5 - 23:21:13
278, 302, 293, 265, 261, 282, 277, 268, 262, 267, 275, 273, 269, 265, 267, 269, 267, 1, 621, 2016/9/5 - 23:21:13
278, 303, 293, 265, 262, 281, 278, 268, 262, 267, 275, 273, 269, 265, 267, 269, 267, 1, 215, 2016/9/5 - 23:21:13
278, 303, 292, 265, 262, 281, 278, 268, 262, 267, 275, 273, 269, 265, 267, 269, 267, 1, 213, 2016/9/5 - 23:21:14
